COD_BARRAS,DESCRICAO,ESFERIC,CILIND,ADICAO,OLHO
5658878839,Lente Vis Simples 1.50 c/A.R.,"0,25","0,00","0,00",
5658878847,Lente Vis Simples 1.50 c/A.R.,"0,50","0,00","0,00",
5658878854,Lente Vis Simples 1.50 c/A.R.,"0,75","0,00","0,00",
5658878862,Lente Vis Simples 1.50 c/A.R.,"1,00","0,00","0,00",
5658878870,Lente Vis Simples 1.50 c/A.R.,"1,25","0,00","0,00",
5658878888,Lente Vis Simples 1.50 c/A.R.,"1,50","0,00","0,00",
5658878896,Lente Vis Simples 1.50 c/A.R.,"1,75","0,00","0,00",
5658878904,Lente Vis Simples 1.50 c/A.R.,"2,00","0,00","0,00",
5658878912,Lente Vis Simples 1.50 c/A.R.,"2,25","0,00","0,00",
5658878920,Lente Vis Simples 1.50 c/A.R.,"2,50","0,00","0,00",
5658878938,Lente Vis Simples 1.50 c/A.R.,"2,75","0,00","0,00",
5658878946,Lente Vis Simples 1.50 c/A.R.,"3,00","0,00","0,00",
5658878953,Lente Vis Simples 1.50 c/A.R.,"3,25","0,00","0,00",
5658878961,Lente Vis Simples 1.50 c/A.R.,"3,50","0,00","0,00",
5658878979,Lente Vis Simples 1.50 c/A.R.,"3,75","0,00","0,00",
5658878987,Lente Vis Simples 1.50 c/A.R.,"4,00","0,00","0,00",
5658879399,Lente Vis Simples 1.50 c/A.R.,"0,25","-0,25","0,00",
5658879472,Lente Vis Simples 1.50 c/A.R.,"0,50","-0,25","0,00",
5658879555,Lente Vis Simples 1.50 c/A.R.,"0,75","-0,25","0,00",
5658879639,Lente Vis Simples 1.50 c/A.R.,"1,00","-0,25","0,00",
5658879712,Lente Vis Simples 1.50 c/A.R.,"1,25","-0,25","0,00",
5658879795,Lente Vis Simples 1.50 c/A.R.,"1,50","-0,25","0,00",
5658879878,Lente Vis Simples 1.50 c/A.R.,"1,75","-0,25","0,00",
5658879951,Lente Vis Simples 1.50 c/A.R.,"2,00","-0,25","0,00",
5658880033,Lente Vis Simples 1.50 c/A.R.,"2,25","-0,25","0,00",
5658880116,Lente Vis Simples 1.50 c/A.R.,"2,50","-0,25","0,00",
5658880199,Lente Vis Simples 1.50 c/A.R.,"2,75","-0,25","0,00",
5658880272,Lente Vis Simples 1.50 c/A.R.,"3,00","-0,25","0,00",
5658880355,Lente Vis Simples 1.50 c/A.R.,"3,25","-0,25","0,00",
5658880439,Lente Vis Simples 1.50 c/A.R.,"3,50","-0,25","0,00",
5658880512,Lente Vis Simples 1.50 c/A.R.,"3,75","-0,25","0,00",
5658880595,Lente Vis Simples 1.50 c/A.R.,"4,00","-0,25","0,00",
5658879407,Lente Vis Simples 1.50 c/A.R.,"0,25","-0,50","0,00",
5658879480,Lente Vis Simples 1.50 c/A.R.,"0,50","-0,50","0,00",
5658879563,Lente Vis Simples 1.50 c/A.R.,"0,75","-0,50","0,00",
5658879647,Lente Vis Simples 1.50 c/A.R.,"1,00","-0,50","0,00",
